genotype,x_min_m,x_max_m,source
Svevo,0,3,Inversion-Rho_Genotypes-Median_Rho.ipynb
IL20,5,9,Inversion-Rho_Genotypes-Median_Rho.ipynb
IPLR760,11,15,Inversion-Rho_Genotypes-Median_Rho.ipynb
WM140,17,21,Inversion-Rho_Genotypes-Median_Rho.ipynb
WM203,23,27,Inversion-Rho_Genotypes-Median_Rho.ipynb
Galil,29,32,Inversion-Rho_Genotypes-Median_Rho.ipynb
