x_m,depth_m,sensor_id,note
15,0.2,8501643,user-provided mapping
15,0.4,8501653,user-provided mapping
15,0.6,8501767,user-provided mapping
15,1.5,8501679,user-provided mapping
23,0.4,8501693,user-provided mapping
23,0.6,8501718,user-provided mapping
23,1.5,8501741,user-provided mapping
